trial_number,stop_word_type,use_custom_preprocessing,roc_auc,accuracy,f1,max_features,min_df,max_df,ngram_range,analyzer,svd_method,semantic_threshold,num_features_to_select,n_components
27,custom,True,0.8244591551120338,0.5201419327906491,0.513865636215243,1268,0.00013633855535647414,0.9725188193344677,1-1,word,none,11.57034328513127,915,15
28,custom,True,0.6312971459574062,0.3045293258192444,0.2496966889726377,1516,0.0018366972244659681,0.9656682059753904,1-1,word,incremental,16.061889497104048,456,1
29,custom,True,0.6393045646512687,0.31517428511792944,0.29818902688489696,1669,0.008044315320196576,0.9618941633067867,1-1,char,truncated,10.075525910131999,1130,55
30,custom,True,0.7803906369674168,0.46816948445001044,0.4552782630414074,621,0.002487868832184826,0.9505893577001399,1-1,word,truncated,8.700662454573568,232,34
31,custom,True,0.8251030156389252,0.5216030056355667,0.5150954507328708,1271,0.0005873944029933808,0.9689467945850521,1-1,word,none,17.754009703773388,590,8
32,custom,True,0.8255218933539856,0.5226466290962221,0.5158172656993761,1147,0.0013597583544309642,0.9718186849595594,1-1,word,none,18.642326825837316,734,7
33,custom,True,0.8251888746713376,0.5247338760175329,0.5181028256995556,1027,0.000584201131425886,0.9758102451514266,1-1,word,none,16.82454006499099,558,20
34,custom,True,0.8297330098676579,0.5274472970152368,0.5216751624094103,1768,0.0014590930426157435,0.967019521360099,1-1,word,none,1.9380501039471998,881,7
35,custom,True,0.7665992396143858,0.45627217699853895,0.44276335504855674,1779,0.001423897797494838,0.9599317939532414,1-1,word,truncated,0.18872325076267615,1519,13
36,custom,True,0.6481886948826384,0.3199749530369443,0.3041985014786711,1846,0.003613830430065716,0.9665137284382915,1-1,char,none,2.0170942660957625,931,75
37,custom,True,0.6893035142686201,0.3554581506992277,0.3374559809268466,1541,0.0021130571649122976,0.9795864190651542,1-1,word,incremental,4.124101752945197,1261,4
38,custom,True,0.6412124551416459,0.3147568357336673,0.2982228163137415,1612,0.009622765834528549,0.9565216306856684,1-1,char,none,8.575137491609556,1017,12
39,custom,True,0.7646994946085032,0.45627217699853895,0.44327184217784144,685,0.001027805603248852,0.9630587581878461,1-1,word,incremental,2.557570263164573,893,21
40,custom,True,0.7807604798123146,0.46399499060738886,0.4515037375655516,372,0.0027886940632811923,0.9715622929996351,1-1,word,truncated,18.630099741860214,1086,42
41,custom,True,0.8269248624085662,0.5286996451680234,0.5225409755344788,1482,0.0005484213140466746,0.9672394206565986,1-1,word,none,18.66807463401635,666,7
42,custom,True,0.8267033634489712,0.530160718012941,0.524644551481154,1465,0.00167912766765242,0.9670184047539426,1-1,word,none,19.06755458201673,707,4
43,custom,True,0.8272813947318521,0.5249426007096639,0.5190177636403868,1467,0.0016312319992365038,0.9675987354153118,1-1,word,none,14.741215659492749,830,11
44,custom,True,0.8296866218453461,0.530160718012941,0.5242264569593135,1959,0.001684062092366709,0.9669554229946874,1-1,word,none,15.522352049628756,865,11
45,custom,True,0.8294592614962507,0.5305781673972031,0.5246523947527882,1932,0.0017076998899425153,0.967747359112278,1-1,word,none,14.601618271740282,856,25
46,custom,True,0.6393045646512687,0.31517428511792944,0.29818902688489696,1986,0.00347239530226208,0.9640386146591036,1-1,char,none,15.00668189047395,1294,25
